Designator,Mid X,Mid Y,Rotation,Layer
C1,126.621,-55.65995,180.0,top
C10,90.2208,-115.7732,180.0,top
C11,105.918,-112.522,270.0,top
C12,95.0468,-112.1156,270.0,top
C13,109.982,-106.172,90.0,top
C14,82.35,-74.25,90.0,top
C15,100.076,-65.024,0.0,top
C16,96.774,-85.598,0.0,top
C17,117.602,-70.104,180.0,top
C18,133.096,-78.486,180.0,top
C19,142.486,-78.718,0.0,top
C2,128.778,-101.092,0.0,top
C20,126.464742,-80.238,180.0,top
C21,142.486,-80.218,0.0,top
C22,126.464742,-78.718,180.0,top
C23,139.486,-80.218,180.0,top
C24,129.514742,-78.718,0.0,top
C25,139.486,-78.718,180.0,top
C26,129.514742,-80.218,0.0,top
C27,141.478,-86.134,270.0,top
C28,127.532,-86.2095,270.0,top
C29,132.842,-87.122,0.0,top
C3,128.778,-103.0732,0.0,top
C30,139.954,-89.728,270.0,top
C31,129.032,-89.728,270.0,top
C32,84.074,-66.548,90.0,top
C33,95.25,-65.024,0.0,top
C34,102.428,-74.676,0.0,top
C35,84.5,-59.0,270.0,top
C36,95.25,-62.992,0.0,top
C37,101.265,-52.82,0.0,top
C38,121.8,-63.55,270.0,top
C39,133.604,-63.246,180.0,top
C4,122.3772,-104.902,90.0,top
C40,83.82,-80.264,180.0,top
C41,98.044,-74.93,0.0,top
C42,102.616,-84.328,0.0,top
C5,124.4092,-104.902,90.0,top
C6,124.424,-108.458,270.0,top
C7,122.3772,-108.458,270.0,top
C9,95.31,-114.86,0.0,top
D1,56.69,-59.35,90.0,top
D2,59.5,-59.35,270.0,top
R1,123.205,-53.61905,180.0,top
R10,89.662,-108.6612,180.0,top
R11,105.918,-107.696,270.0,top
R12,107.95,-106.172,270.0,top
R13,112.014,-107.696,270.0,top
R14,140.262742,-72.838,0.0,top
R15,141.986,-82.6305,270.0,top
R16,139.986,-82.6305,270.0,top
R17,127.032,-82.6535,270.0,top
R18,129.032,-82.6535,270.0,top
R19,139.978,-86.134,270.0,top
R2,126.6425,-53.61905,180.0,top
R20,129.032,-86.2095,270.0,top
R21,113.265,-55.5,90.0,top
R22,117.856,-66.548,0.0,top
R23,127.254,-65.1275,90.0,top
R24,129.032,-60.452,90.0,top
R25,140.36,-62.31,0.0,top
R26,130.556,-69.088,180.0,top
R3,132.08,-112.014,270.0,top
R4,148.082,-121.666,90.0,top
R5,145.542,-121.7695,90.0,top
R6,137.922,-121.7695,90.0,top
R7,112.776,-113.284,180.0,top
R8,112.776,-111.3536,180.0,top
R9,93.1164,-108.6612,180.0,top
SW1,69.2912,-105.5116,90.0,top
U1,130.81,-107.188,0.0,top
U10,132.0175,-66.1115,0.0,top
U3,91.449799,-112.5444,270.0,top
U4,108.946,-111.204,90.0,top
U5,78.375,-70.342,270.0,top
U6,119.99,-75.062,90.0,top
U7,134.439742,-74.493,180.0,top
U8,134.2855,-84.369,180.0,top
U9,117.856,-61.468,270.0,top
Y1,108.458,-117.094,90.0,top
